190,967,Summer,1960,Cycling Men's 100 kilometres Team Time Trial,Silver
191,968,Summer,1912,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
192,973,Summer,1936,"Equestrianism Men's Dressage, Team",Bronze
193,974,Summer,1912,"Equestrianism Men's Three-Day Event, Team",Gold
194,975,Summer,1908,"Tennis Women's Singles, Covered Courts",Bronze
195,977,Summer,1912,Diving Men's Platform,Gold
196,977,Summer,1912,Diving Men's Plain High,Gold
197,977,Summer,1920,Diving Men's Platform,Silver
198,980,Summer,2008,Swimming Women's 400 metres Freestyle,Gold
199,980,Summer,2008,Swimming Women's 800 metres Freestyle,Gold
200,980,Summer,2012,Swimming Women's 400 metres Freestyle,Bronze
201,980,Summer,2012,Swimming Women's 800 metres Freestyle,Bronze
202,1000,Summer,2000,Basketball Men's Basketball,Bronze
203,1017,Summer,2008,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
204,1017,Summer,2012,Swimming Men's 100 metres Freestyle,Gold
205,1017,Summer,2012,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
206,1017,Summer,2012,Swimming Men's 4 x 100 metres Medley Relay,Gold
207,1017,Summer,2016,Swimming Men's 50 metres Freestyle,Bronze
208,1017,Summer,2016,Swimming Men's 100 metres Freestyle,Bronze
209,1017,Summer,2016,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
210,1017,Summer,2016,Swimming Men's 4 x 100 metres Medley Relay,Gold
211,1020,Summer,1996,Basketball Women's Basketball,Silver
212,1020,Summer,2000,Basketball Women's Basketball,Bronze
213,1023,Summer,2000,Basketball Women's Basketball,Bronze
214,1025,Summer,1996,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
215,1046,Summer,1964,Rowing Men's Coxed Eights,Silver
216,1071,Summer,2012,Gymnastics Women's Team All-Around,Silver
217,1085,Winter,2002,Ice Hockey Men's Ice Hockey,Bronze
218,1088,Summer,1996,Athletics Women's 4 x 400 metres Relay,Silver
219,1094,Summer,1976,Rowing Women's Coxed Quadruple Sculls,Bronze
220,1095,Summer,2016,Rugby Sevens Men's Rugby Sevens,Bronze
221,1104,Summer,1964,Hockey Men's Hockey,Silver
222,1107,Summer,2016,Rugby Sevens Men's Rugby Sevens,Bronze
223,1109,Summer,1984,Gymnastics Women's Team All-Around,Gold
224,1109,Summer,1984,Gymnastics Women's Horse Vault,Bronze
225,1114,Summer,2004,Rowing Men's Coxless Fours,Bronze
226,1114,Summer,2008,Rowing Men's Quadruple Sculls,Silver
227,1122,Summer,1996,Tennis Men's Singles,Gold
228,1131,Summer,2016,Judo Women's Half-Middleweight,Silver
229,1144,Summer,1920,Sailing Mixed 6 metres,Bronze
230,1147,Summer,1956,Water Polo Men's Water Polo,Bronze
231,1147,Summer,1960,Water Polo Men's Water Polo,Silver
232,1147,Summer,1964,Water Polo Men's Water Polo,Bronze
233,1169,Summer,2008,Hockey Women's Hockey,Gold
234,1169,Summer,2012,Hockey Women's Hockey,Gold
235,1173,Summer,2012,Swimming Men's 200 metres Freestyle,Gold
236,1173,Summer,2012,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
237,1173,Summer,2012,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
238,1181,Winter,2006,Ice Hockey Women's Ice Hockey,Gold
239,1181,Winter,2010,Ice Hockey Women's Ice Hockey,Gold
240,1181,Winter,2014,Ice Hockey Women's Ice Hockey,Gold
241,1188,Winter,2006,Figure Skating Mixed Ice Dancing,Silver
242,1191,Summer,1964,"Fencing Women's Foil, Team",Gold
243,1192,Summer,1928,"Fencing Men's epee, Team",Gold
244,1192,Summer,1932,"Fencing Men's epee, Individual",Bronze
245,1192,Summer,1932,"Fencing Men's epee, Team",Silver
246,1192,Summer,1948,"Fencing Men's epee, Team",Silver
247,1201,Summer,1936,Boxing Men's Lightweight,Bronze
248,1208,Summer,1906,Rowing Men's 17-Man Naval Rowing Boats,Gold
249,1211,Summer,1928,Gymnastics Women's Team All-Around,Gold
250,1220,Summer,2008,Football Men's Football,Gold
251,1221,Summer,2000,Volleyball Women's Volleyball,Gold
252,1249,Summer,1980,Boxing Men's Light-Welterweight,Bronze
253,1254,Summer,2012,Handball Women's Handball,Bronze
254,1262,Summer,2016,Rhythmic Gymnastics Women's Group,Silver
255,1270,Summer,1992,Athletics Men's 4 x 100 metres Relay,Bronze
256,1301,Summer,2016,Weightlifting Women's Flyweight,Silver
257,1313,Summer,2008,Volleyball Women's Volleyball,Silver
258,1322,Winter,1972,Ice Hockey Men's Ice Hockey,Silver
259,1323,Summer,1908,Athletics Men's Triple Jump,Gold
260,1333,Summer,1932,Boxing Men's Welterweight,Bronze
261,1336,Winter,1980,Ice Hockey Men's Ice Hockey,Bronze
262,1340,Winter,2002,Ice Hockey Women's Ice Hockey,Bronze
263,1341,Winter,1924,Curling Men's Curling,Silver
264,1342,Winter,1984,Ice Hockey Men's Ice Hockey,Bronze
265,1346,Summer,1924,"Wrestling Men's Bantamweight, Greco-Roman",Silver
266,1348,Summer,1912,"Wrestling Men's Middleweight B, Greco-Roman",Silver
267,1350,Summer,1948,Rowing Men's Coxed Eights,Gold
268,1356,Summer,2004,"Equestrianism Mixed Jumping, Team",Bronze
269,1356,Summer,2016,"Equestrianism Mixed Jumping, Team",Bronze
270,1359,Summer,1932,Boxing Men's Lightweight,Silver
271,1364,Summer,1952,Football Men's Football,Bronze
272,1374,Summer,2016,Badminton Mixed Doubles,Gold
273,1378,Summer,1948,Athletics Men's Triple Jump,Gold
274,1379,Summer,2000,Beach Volleyball Men's Beach Volleyball,Bronze
275,1380,Summer,1992,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
276,1380,Summer,1992,Swimming Women's 100 metres Butterfly,Silver
277,1380,Summer,1992,Swimming Women's 4 x 100 metres Medley Relay,Gold
278,1386,Summer,1992,Hockey Men's Hockey,Bronze
279,1389,Summer,1968,Hockey Men's Hockey,Gold
280,1391,Summer,1960,Hockey Men's Hockey,Gold
281,1400,Summer,1984,Hockey Men's Hockey,Gold
282,1402,Summer,1992,Hockey Men's Hockey,Bronze
283,1408,Summer,1984,Hockey Men's Hockey,Gold
284,1409,Summer,1960,Hockey Men's Hockey,Gold
285,1412,Summer,1968,Hockey Men's Hockey,Gold
286,1412,Summer,1972,Hockey Men's Hockey,Silver
287,1414,Summer,1992,Hockey Men's Hockey,Bronze
288,1424,Summer,1912,Sailing Mixed 8 metres,Bronze
289,1435,Winter,2002,"Ski Jumping Men's Large Hill, Team",Silver
290,1435,Winter,2006,"Ski Jumping Men's Large Hill, Team",Silver
291,1442,Summer,1964,Sailing Mixed Three Person Keelboat,Silver
292,1443,Summer,1976,Rowing Women's Coxed Eights,Gold
293,1444,Summer,2004,Rowing Men's Coxed Eights,Gold
294,1447,Summer,1956,Athletics Women's Javelin Throw,Silver
295,1449,Summer,1964,Rowing Men's Coxed Eights,Silver
296,1466,Summer,2012,Water Polo Men's Water Polo,Silver
297,1466,Summer,2016,Water Polo Men's Water Polo,Bronze
298,1467,Summer,2000,Hockey Women's Hockey,Silver
299,1467,Summer,2004,Hockey Women's Hockey,Bronze
300,1467,Summer,2008,Hockey Women's Hockey,Bronze
301,1469,Winter,1936,Bobsleigh Men's Four,Silver
302,1478,Summer,2016,Water Polo Women's Water Polo,Silver
303,1480,Summer,1924,Weightlifting Men's Heavyweight,Silver
304,1481,Summer,2012,"Canoeing Men's Kayak Singles, Slalom",Bronze
305,1483,Summer,1956,Gymnastics Men's Team All-Around,Silver
306,1483,Summer,1956,Gymnastics Men's Floor Exercise,Silver
